entry_date,exit_date,days,episode_strategy_return,entry_rsi,exit_rsi,episode
2010-03-12,2010-03-12,1,-0.010230582567048896,70.50812618833896,70.50812618833896,1
2010-03-17,2010-03-19,3,-0.011341572471772254,73.36380736602912,75.26238925452641,2
2010-04-06,2010-04-07,2,-0.06512950237895676,72.5094803564123,73.36974311953591,3
2010-04-12,2010-04-12,1,0.019287572168318556,72.85692305670548,72.85692305670548,4
2010-04-14,2010-04-16,3,0.08017502836228108,74.30749867199131,76.88863635945248,5
2010-04-26,2010-04-26,1,-0.02106538152633508,70.61925629391891,70.61925629391891,6
2010-09-21,2010-09-21,1,0.028787123381178725,68.65252006357034,68.65252006357034,7
2010-10-13,2010-10-19,5,0.11625753570757102,68.16636930741966,66.37150178882851,8
2010-11-03,2010-11-10,6,-0.249298073776397,68.4646011596881,67.94193098046173,9
2010-12-13,2010-12-13,1,0.08822108471714762,68.32934775772888,68.32934775772888,10
2011-01-04,2011-01-04,1,0.020462700601485917,75.93269274461558,75.93269274461558,11
2011-01-06,2011-01-06,1,0.0420942601511094,75.77328931350604,75.77328931350604,12
2011-01-13,2011-01-13,1,-0.017786636602632133,75.41516518574778,75.41516518574778,13
2011-01-18,2011-01-19,2,0.008000328903751353,76.69302870123558,76.71853307179268,14
2011-01-27,2011-01-28,2,0.11469514359850752,70.95093941645708,71.88471020439793,15
2011-02-08,2011-02-09,2,-0.020542644781059827,69.16639688786478,69.52989373271774,16
2011-02-14,2011-02-15,2,-0.008386457030826966,70.9504102996487,70.68500343029423,17
2011-02-18,2011-02-18,1,0.00255116622485807,73.07093845553146,73.07093845553146,18
2011-04-29,2011-05-02,2,0.06269940493683879,67.864280479679,69.66591528462936,19
2012-01-20,2012-01-20,1,-0.09827735766234347,68.67994980284469,68.67994980284469,20
2012-01-24,2012-01-24,1,-0.0640873034852446,69.0677094264361,69.0677094264361,21
2012-01-26,2012-01-26,1,0.07619941304462752,71.63066046241508,71.63066046241508,22
2012-02-06,2012-02-06,1,-0.056602288174157134,73.14873626340497,73.14873626340497,23
2012-02-08,2012-02-10,3,0.3721885653135595,73.93284303917882,74.68074450506236,24
2012-03-02,2012-03-02,1,0.02115097492596818,70.02586699046267,70.02586699046267,25
2012-03-14,2012-03-14,1,0.10250797743132045,69.73156107157598,69.73156107157598,26
2012-03-16,2012-03-21,4,-0.2821799950433419,71.05070452153282,69.91869974245941,27
2012-03-27,2012-03-27,1,0.18025314619271326,69.43574974763666,69.43574974763666,28
2012-09-10,2012-09-10,1,0.06520675821621769,69.33922905718809,69.33922905718809,29
2012-09-14,2012-09-17,2,0.13482637046918078,73.31892443540397,74.47806834738736,30
2013-01-30,2013-01-30,1,0.0821183186643406,74.45537675070804,74.45537675070804,31
2013-02-04,2013-02-04,1,0.05902427095294338,71.67717128680772,71.67717128680772,32
2013-02-20,2013-02-20,1,0.19226136378245617,70.98113979253806,70.98113979253806,33
2013-03-12,2013-03-12,1,0.023446697704144537,69.00423295638888,69.00423295638888,34
2013-03-15,2013-03-15,1,-0.010271915571604562,70.0448232230879,70.0448232230879,35
2013-05-09,2013-05-09,1,0.016427161074561214,68.57741810828642,68.57741810828642,36
2013-05-15,2013-05-22,6,0.034140456517749884,70.78831556569122,72.56566294587957,37
2013-09-19,2013-09-19,1,0.031061868203508647,72.56528653589963,72.56528653589963,38
2013-11-18,2013-11-18,1,0.040355555553473144,68.29817205025242,68.29817205025242,39
2013-12-26,2014-01-02,5,0.14975823744859373,67.78391962841883,69.45501993028765,40
2014-06-06,2014-06-11,4,-0.01569696218878569,71.38709335129565,72.1980534293136,41
2014-06-23,2014-06-23,1,-0.043316154936789864,71.01325415188164,71.01325415188164,42
2014-07-02,2014-07-08,4,0.04172603239807082,69.32747527223742,66.34517597128055,43
2014-11-25,2014-11-25,1,0.0007495807662298848,74.79193186680632,74.79193186680632,44
2014-11-28,2014-11-28,1,0.06433522918391987,74.94408869303129,74.94408869303129,45
2015-10-29,2015-10-29,1,-0.02897804256053016,67.65169379712557,67.65169379712557,46
2015-11-03,2015-11-04,2,0.08804416266424298,68.252827895613,69.79190865192457,47
2016-03-18,2016-03-23,4,0.032547149448766355,67.78667725444286,68.25131839949921,48
2016-03-31,2016-03-31,1,-0.008118342435449288,69.44944287914822,69.44944287914822,49
2016-04-04,2016-04-04,1,0.06601077332747174,70.44776831499675,70.44776831499675,50
2016-04-20,2016-04-20,1,0.0483354200261108,68.04909586201902,68.04909586201902,51
2016-11-22,2016-11-22,1,0.024455534807365842,67.74904246910582,67.74904246910582,52
2016-12-08,2016-12-22,11,-0.13760354306193867,72.58435711063554,66.19662192680559,53
2017-02-10,2017-03-06,16,-0.11897859064060612,68.06574333585081,67.31810200351543,54
2017-06-05,2017-06-05,1,-0.009023141225354303,68.76297478138854,68.76297478138854,55
2017-07-20,2017-07-20,1,0.008652625558183136,67.62076156138727,67.62076156138727,56
2017-07-26,2017-07-27,2,0.05089126229845253,68.11159315925998,69.16202106159398,57
2017-10-02,2017-10-25,18,-0.09892139314476212,69.44367091673762,68.82742314303921,58
2017-10-30,2017-10-30,1,-0.07124072275719051,68.19985220934261,68.19985220934261,59
2017-11-01,2017-11-01,1,0.05144728735236881,68.56782987046488,68.56782987046488,60
2017-11-03,2017-11-08,4,0.014492823450420245,68.26632494924019,69.29175695041863,61
2017-11-29,2017-12-05,5,0.09260476364354053,72.36779008980326,71.34785385507575,62
2017-12-11,2017-12-29,14,-0.16426030871541863,71.81495201447112,70.88745418908607,63
2018-01-04,2018-01-31,19,0.3282165461950606,73.91348687759634,66.21490717290666,64
2018-08-28,2018-08-28,1,0.036021775631752906,69.49139108822614,69.49139108822614,65
2018-08-30,2018-08-30,1,0.03883879291612802,69.55645315714173,69.55645315714173,66
2018-09-21,2018-09-21,1,0.012867127325011385,69.5136777315131,69.5136777315131,67
2019-02-20,2019-02-20,1,-0.05458665398468365,69.32294440219168,69.32294440219168,68
2019-02-25,2019-02-25,1,0.10885818081812193,71.28649980471617,71.28649980471617,69
2019-03-04,2019-03-04,1,0.09769735124712886,71.10653239747765,71.10653239747765,70
2019-03-19,2019-03-19,1,0.06838042363377705,69.28217898101093,69.28217898101093,71
2019-04-05,2019-04-08,2,-0.017922461434043968,68.43385130806087,68.21550813405759,72
2019-04-12,2019-04-18,5,-0.09221964665848037,68.24517373882563,66.99770690975613,73
2019-04-24,2019-04-24,1,0.04182628359980001,73.08725813990102,73.08725813990102,74
2019-04-29,2019-04-29,1,0.006589518369955583,72.42720298166788,72.42720298166788,75
2019-05-01,2019-05-01,1,0.10798394662499544,74.83357372819476,74.83357372819476,76
2019-06-20,2019-06-21,2,0.13503105591482356,68.04467640028844,68.20508902717792,77
2019-07-03,2019-07-05,2,-0.004264443674558804,68.41984876423624,67.16468554564983,78
2019-07-11,2019-07-17,5,-0.0010741769753079833,68.52835852478796,67.0055776330287,79
2019-11-04,2019-11-04,1,0.05600691660942547,68.38168940580852,68.38168940580852,80
2019-11-07,2019-11-07,1,0.035046247540623465,69.18742524197644,69.18742524197644,81
2019-11-18,2019-11-19,2,0.013149995225806954,72.88451358436521,75.30999860653773,82
2019-11-26,2019-12-02,4,0.1195117404892918,72.24469924505384,69.94955717323825,83
2019-12-16,2019-12-30,10,0.1291558408089759,69.83662385875687,78.44291252585457,84
2020-01-10,2020-01-10,1,0.0065442964753568145,72.49165923386235,72.49165923386235,85
2020-01-14,2020-01-14,1,-0.016522731299505544,70.43021339285605,70.43021339285605,86
2020-01-16,2020-01-24,6,0.15193404651879683,72.9108690045338,74.93065626667536,87
2020-06-05,2020-06-10,4,0.13539688054847887,70.81683932366565,71.21909741265131,88
2020-08-10,2020-08-11,2,0.05180260730728237,69.36626845194932,70.76589262681466,89
2020-08-25,2020-09-03,8,0.6516406273170918,72.74497652094098,78.42438156342658,90
2020-12-09,2020-12-09,1,0.0821926359420655,67.97798919584015,67.97798919584015,91
2020-12-29,2020-12-29,1,0.12130674180722867,67.69088692342014,67.69088692342014,92
2021-01-04,2021-01-04,1,0.19887639057594275,68.93611192356789,68.93611192356789,93
2021-01-08,2021-01-08,1,0.014443256253982684,69.37134281463278,69.37134281463278,94
2021-01-21,2021-01-21,1,-0.0033415730302637225,68.03592655752533,68.03592655752533,95
2021-01-26,2021-01-26,1,0.004864701658901627,67.54677017560235,67.54677017560235,96
2021-04-06,2021-04-06,1,0.0033421750270146156,67.86474521085526,67.86474521085526,97
2021-04-08,2021-04-20,9,0.031771008100776044,68.98756840023492,68.76555612666918,98
2021-07-02,2021-07-07,3,0.11914641439394691,68.8377128625589,70.33695067227488,99
2021-07-12,2021-07-14,3,-0.02630094709159503,67.94988241378536,66.91600660597197,100
2021-10-26,2021-10-26,1,0.07415097427459627,68.03255395873973,68.03255395873973,101
2021-11-04,2021-11-10,5,0.2158975568214101,73.67405490265116,68.7846031603534,102
2022-08-11,2022-08-11,1,0.04411688900431132,68.77779726371296,68.77779726371296,103
2022-08-15,2022-08-17,3,-0.05788011021927231,70.18809123016936,69.30661844142458,104
2023-02-02,2023-02-02,1,0.16407455774252333,67.86673775579499,67.86673775579499,105
2023-06-13,2023-06-21,6,-0.0796000942319306,70.78661964503388,66.87440473130341,106
2023-07-03,2023-07-03,1,-0.0019270078406611324,69.2236695399047,69.2236695399047,107
2023-07-13,2023-08-01,14,-0.052244958562163935,69.08918861141481,67.25480391993261,108
2023-11-15,2023-11-15,1,0.00373192284124646,68.4453702316767,68.4453702316767,109
2023-11-17,2023-11-17,1,-0.02687830587388318,68.76752900619067,68.76752900619067,110
2023-12-13,2023-12-29,12,-0.044433666970072005,73.46068580234234,73.2893342764625,111
2024-01-22,2024-01-22,1,-0.028220394556304762,69.07926123542151,69.07926123542151,112
2024-01-24,2024-01-24,1,0.1043509306683228,72.3121984611367,72.3121984611367,113
2024-01-26,2024-01-26,1,-0.020876274862489663,71.64159961700959,71.64159961700959,114
2024-01-30,2024-01-30,1,-0.027034720407577373,74.92862913399055,74.92862913399055,115
2024-02-05,2024-02-05,1,-0.05872206519122525,68.68528381850496,68.68528381850496,116
2024-02-07,2024-02-12,4,0.07968450772310698,68.87311106757805,73.11653429482227,117
2024-02-23,2024-02-23,1,-0.033921434222271896,69.16052837182119,69.16052837182119,118
2024-03-04,2024-03-04,1,0.00555441480740404,69.22765684677154,69.22765684677154,119
2024-03-08,2024-03-08,1,0.07729960697921934,67.99639651975109,67.99639651975109,120
2024-03-21,2024-03-21,1,0.04263961786431536,69.64662481145015,69.64662481145015,121
2024-05-16,2024-05-16,1,-0.0032831174120415696,69.45379099978535,69.45379099978535,122
2024-05-20,2024-05-20,1,0.007679421251647334,68.15021899143912,68.15021899143912,123
2024-06-12,2024-07-01,13,-0.058694273371729944,70.68588868743747,66.56240782277348,124
2024-07-05,2024-07-16,8,-0.0037428984432649193,74.01302312863965,74.65154667606643,125
2024-10-15,2024-10-15,1,0.1078674012571732,68.48045874098224,68.48045874098224,126
2024-11-08,2024-11-14,5,-0.07221689435169698,67.69375083796436,67.15558876071874,127
2024-12-04,2024-12-09,4,0.06342282314811243,68.6821335475463,67.80122671719766,128
2025-05-16,2025-05-16,1,0.013006761815473666,68.6573294837103,68.6573294837103,129
2025-06-11,2025-06-11,1,0.0558909284014093,68.14484092579428,68.14484092579428,130
2025-06-27,2025-07-15,12,-0.1021691041469559,68.89945486361586,70.68265630832991,131
2025-07-24,2025-07-24,1,0.011574121883079824,74.74751025458694,74.74751025458694,132
2025-07-28,2025-07-29,2,0.03906826192806867,76.85436929711445,77.4684904359239,133
2025-07-31,2025-07-31,1,0.08211517221781262,75.47288407154099,75.47288407154099,134
2025-08-13,2025-08-13,1,0.02994223689580089,67.66681254099453,67.66681254099453,135
2025-08-15,2025-08-15,1,0.003555445235013055,68.76632232289587,68.76632232289587,136
2025-09-12,2025-09-24,9,0.006982825615872157,68.0167189490467,68.59801921480684,137
2025-10-02,2025-10-02,1,0.055123645483821315,70.50147584020488,70.50147584020488,138
2025-10-06,2025-10-07,2,0.07142463853248748,70.92453408214416,72.00805405795711,139
2025-10-09,2025-10-09,1,0.01114484906962665,70.42113036863971,70.42113036863971,140
2025-10-28,2025-10-29,2,0.10567675062445048,69.05459570697815,69.84265075327956,141
2026-04-15,2026-04-17,3,0.002107277510712935,67.53406456368499,71.35358020250133,142
