feature,direction,threshold,n,loss_rate,avg_return,median_return
holding_days,>=,9.0,12,0.5833333333333334,0.04266541257967407,-0.02437514917251805
max_tqqq_open_return_from_entry,>=,0.05408260267856815,20,0.55,0.022871273527742802,-0.0142489305305861
rsi_change,>=,0.04824185226938547,39,0.5128205128205128,0.015590353558582074,-0.0009148195553226
episode_tqqq_open_return,>=,0.03287224066085371,20,0.5,0.016780159280867672,-0.0046206675400486
episode_tqqq_open_return,>=,0.023990636842303955,29,0.4827586206896552,0.025279939377753195,0.0036336303439625
max_tqqq_open_return_from_entry,>=,0.029567716850842574,29,0.4827586206896552,0.02600033236035954,0.0036336303439625
episode_tqqq_open_return,>=,0.00932398194853922,39,0.46153846153846156,0.028328905790391837,0.0227754333180119
max_tqqq_open_return_from_entry,>=,0.018382296892298783,39,0.46153846153846156,0.029667179428918198,0.0044740213311205
holding_days,>=,6.0,22,0.45454545454545453,0.03785082666669982,0.0136247273245662
pre20_tqqq_open_return,>=,0.1930982702584324,20,0.45,0.07385997895817639,0.0525749556403438
max_tqqq_open_return_from_entry,>=,0.00544333706451039,49,0.4489795918367347,0.03180229990851845,0.0227754333180119
holding_days,>=,3.0,48,0.4375,0.03332286084756734,0.02348094356293815
holding_days,>=,4.0,37,0.43243243243243246,0.04002374603679548,0.0227754333180119
pre20_tqqq_open_return,>=,0.17766655862757538,29,0.41379310344827586,0.060122515808680124,0.0341404565177503
rsi_change,>=,0.8238179785937113,29,0.41379310344827586,0.04768839819688626,0.0227754333180119
entry_rsi,<=,70.43178554718253,39,0.41025641025641024,-0.0032901818307003896,0.0211509749259681
entry_rsi,<=,70.6221812779543,49,0.40816326530612246,0.0024778743667489126,0.0211509749259681
days_since_previous_exit,<=,3.0,32,0.40625,0.012378711812732656,0.01614791199779735
days_since_previous_exit,<=,3.0,32,0.40625,0.012378711812732656,0.01614791199779735
holding_days,>=,2.0,62,0.4032258064516129,0.03338799506617838,0.02348094356293815
holding_days,>=,2.0,62,0.4032258064516129,0.03338799506617838,0.02348094356293815
pre5_tqqq_open_return,>=,0.055658180200174774,20,0.4,0.06781229880513452,0.03431875050967935
entry_rsi,<=,69.70530275679734,10,0.4,0.0005093450265651181,0.0184962222882146
pre10_tqqq_open_return,<=,0.009241790125321182,10,0.4,0.006678994814009675,0.0041804069968689
pre20_tqqq_open_return,>=,0.23140485563126895,10,0.4,0.10364808142700846,0.057333775679991955
episode_tqqq_open_return,>=,0.06584434842458592,10,0.4,0.09477426822308672,0.02389114408236545
max_tqqq_open_return_from_entry,>=,0.08400662067697262,10,0.4,0.1109513717216107,0.03158300137379385
days_since_previous_exit,>=,121.5,10,0.4,0.0005540899479379097,0.0040538258375415
entry_rsi,<=,70.85429786127122,58,0.39655172413793105,0.020124954850276152,0.0234503752847149
entry_rsi,<=,70.17522652615399,29,0.3793103448275862,0.002576932920883172,0.0227754333180119
pre10_tqqq_open_return,>=,0.09018856702276484,29,0.3793103448275862,0.043269513389255186,0.0332331680281632
days_since_previous_exit,<=,9.0,49,0.3673469387755102,0.03770532360983715,0.025006854846719
entry_rsi,<=,71.70266777944417,77,0.36363636363636365,0.030957733248326392,0.025006854846719
pre5_tqqq_open_return,>=,0.0018603860549195614,77,0.36363636363636365,0.036424111132767716,0.0332331680281632
rsi_change,>=,-0.6834313368220277,77,0.36363636363636365,0.029126268293736726,0.025006854846719
rsi_change,>=,0.0,75,0.36,0.028417419334070382,0.025006854846719
rsi_change,>=,0.0,75,0.36,0.028417419334070382,0.025006854846719
rsi_change,>=,0.0,75,0.36,0.028417419334070382,0.025006854846719
pre5_tqqq_open_return,<=,0.019764907329653227,39,0.358974358974359,0.02087577181800683,0.0227754333180119
pre10_tqqq_open_return,>=,0.07530182648877741,39,0.358974358974359,0.0580384413270111,0.0309415029072461
pre20_tqqq_open_return,>=,0.15628610217984687,39,0.358974358974359,0.045745807333207336,0.0296067913665114
pre5_tqqq_open_return,>=,-0.008172517311285741,87,0.3563218390804598,0.03854213415888445,0.0332331680281632
rsi_change,>=,-2.0900645589204685,87,0.3563218390804598,0.03364209535199749,0.0296067913665114
entry_rsi,<=,71.13013301630522,68,0.35294117647058826,0.03165915563998508,0.02797417887698255
pre20_tqqq_open_return,>=,0.10202459383088083,68,0.35294117647058826,0.03854859131142685,0.03368681227295675
days_since_previous_exit,<=,17.0,60,0.35,0.04183376607072594,0.0319596368345219
days_since_previous_exit,<=,6.0,40,0.35,0.02301444475994442,0.0245966543272917
rsi_change,>=,1.7282795524821437,20,0.35,0.05100493235070609,0.029573655682234648
pre5_tqqq_open_return,<=,0.027082803032353553,49,0.3469387755102041,0.02655916591249875,0.025006854846719
pre10_tqqq_open_return,>=,0.06358154509288538,49,0.3469387755102041,0.05084614391832693,0.0332331680281632
pre20_tqqq_open_return,<=,0.13900724566800293,49,0.3469387755102041,0.029314815353360866,0.025006854846719
episode_tqqq_open_return,>=,-0.002666298439734204,87,0.3448275862068966,0.03182391957811527,0.0297987081032307
pre10_tqqq_open_return,>=,0.05072573031965697,58,0.3448275862068966,0.049193397446622024,0.03208733546770465
pre5_tqqq_open_return,>=,0.04259411772503126,29,0.3448275862068966,0.051516215889105016,0.0344071668865759
days_since_previous_exit,<=,41.0,67,0.34328358208955223,0.03948655600319416,0.0309415029072461
pre5_tqqq_open_return,>=,0.012663434843333477,68,0.3382352941176471,0.04233765721960159,0.0342738117021631
pre10_tqqq_open_return,>=,0.031079960020249996,68,0.3382352941176471,0.0460256856306084,0.03208733546770465
entry_rsi,>=,69.96476606754156,77,0.33766233766233766,0.04252929529793174,0.0332331680281632
pre10_tqqq_open_return,>=,0.020243879881584142,77,0.33766233766233766,0.04050008394598325,0.0309415029072461
pre10_tqqq_open_return,<=,0.10569576300008938,77,0.33766233766233766,0.03338323561376556,0.025006854846719
pre20_tqqq_open_return,>=,0.08265083920043442,77,0.33766233766233766,0.03931679274677372,0.0332331680281632
episode_tqqq_open_return,>=,0.0,83,0.3373493975903614,0.03479653017985513,0.0332331680281632
episode_tqqq_open_return,>=,0.0,83,0.3373493975903614,0.03479653017985513,0.0332331680281632
episode_tqqq_open_return,>=,0.0,83,0.3373493975903614,0.03479653017985513,0.0332331680281632
episode_tqqq_open_return,>=,0.0,83,0.3373493975903614,0.03479653017985513,0.0332331680281632
entry_rsi,<=,72.43122920113055,87,0.3333333333333333,0.035077377892305105,0.0309415029072461
pre5_tqqq_open_return,<=,0.07039098741325737,87,0.3333333333333333,0.035804951272930666,0.0309415029072461
pre10_tqqq_open_return,<=,0.12754428103699317,87,0.3333333333333333,0.035039205058803036,0.0296067913665114
pre20_tqqq_open_return,>=,0.051539828594619676,87,0.3333333333333333,0.039465286464200326,0.0332331680281632
rsi_change,<=,3.5576165781028677,87,0.3333333333333333,0.026942318861194543,0.0309415029072461
pre5_tqqq_open_return,>=,0.0332751306335823,39,0.3333333333333333,0.046661436452664976,0.0332331680281632
pre20_tqqq_open_return,<=,0.12025219359560446,39,0.3333333333333333,0.026385894781749002,0.0241253172514179
days_since_previous_exit,>=,17.0,39,0.3333333333333333,0.025623521965727456,0.0297987081032307
days_since_previous_exit,>=,83.0,21,0.3333333333333333,0.024808944455730546,0.0241253172514179
holding_days,>=,1.0,97,0.32989690721649484,0.03637270371157791,0.0309415029072461
holding_days,>=,1.0,97,0.32989690721649484,0.03637270371157791,0.0309415029072461
holding_days,>=,1.0,97,0.32989690721649484,0.03637270371157791,0.0309415029072461
max_tqqq_open_return_from_entry,>=,0.0,97,0.32989690721649484,0.03637270371157791,0.0309415029072461
max_tqqq_open_return_from_entry,>=,0.0,97,0.32989690721649484,0.03637270371157791,0.0309415029072461
max_tqqq_open_return_from_entry,>=,0.0,97,0.32989690721649484,0.03637270371157791,0.0309415029072461
max_tqqq_open_return_from_entry,>=,0.0,97,0.32989690721649484,0.03637270371157791,0.0309415029072461
days_since_previous_exit,>=,3.0,79,0.3291139240506329,0.04025279197725375,0.0341404565177503
days_since_previous_exit,>=,3.0,79,0.3291139240506329,0.04025279197725375,0.0341404565177503
pre5_tqqq_open_return,<=,0.0332751306335823,58,0.3275862068965517,0.02945441790291591,0.0273068231066152
pre20_tqqq_open_return,>=,0.12025219359560446,58,0.3275862068965517,0.04308797178508354,0.0342738117021631
rsi_change,<=,1.7282795524821437,77,0.3246753246753247,0.03257212484427189,0.0309415029072461
pre5_tqqq_open_return,<=,0.04259411772503126,68,0.3235294117647059,0.029914441165279578,0.0273068231066152
days_since_previous_exit,>=,2.0,96,0.3229166666666667,0.0368581546103136,0.03208733546770465
entry_rsi,>=,69.70530275679734,87,0.3218390804597701,0.04049492884778627,0.0332331680281632
pre10_tqqq_open_return,>=,0.009241790125321182,87,0.3218390804597701,0.03978577369980414,0.0341404565177503
pre20_tqqq_open_return,<=,0.23140485563126895,87,0.3218390804597701,0.028639901675321516,0.0297987081032307
episode_tqqq_open_return,<=,0.06584434842458592,87,0.3218390804597701,0.02965988020450792,0.0332331680281632
max_tqqq_open_return_from_entry,<=,0.08400662067697262,87,0.3218390804597701,0.027800443020769536,0.0309415029072461
days_since_previous_exit,<=,121.5,86,0.313953488372093,0.04107955747803169,0.03422646941014135
pre5_tqqq_open_return,<=,0.055658180200174774,77,0.3116883116883117,0.02820657511584891,0.0309415029072461
days_since_previous_exit,<=,83.0,77,0.3116883116883117,0.04033326459507537,0.0341404565177503
pre5_tqqq_open_return,>=,0.019764907329653227,58,0.3103448275862069,0.046793054467599834,0.03662297990135195
pre10_tqqq_open_return,<=,0.07530182648877741,58,0.3103448275862069,0.02180436290120042,0.03200697912654365
pre20_tqqq_open_return,<=,0.15628610217984687,58,0.3103448275862069,0.030070099552206395,0.0337728251653478
pre5_tqqq_open_return,<=,0.012663434843333477,29,0.3103448275862069,0.022385916175522384,0.0241864538078644
pre10_tqqq_open_return,<=,0.031079960020249996,29,0.3103448275862069,0.0137381254186788,0.0296067913665114
entry_rsi,>=,70.17522652615399,68,0.3088235294117647,0.05078560596055066,0.03630429741655335
pre10_tqqq_open_return,<=,0.09018856702276484,68,0.3088235294117647,0.033431417231392,0.0273068231066152
pre10_tqqq_open_return,<=,0.05072573031965697,39,0.3076923076923077,0.017306030977409726,0.0296067913665114
pre5_tqqq_open_return,>=,0.027082803032353553,49,0.30612244897959184,0.046999031497045825,0.0341404565177503
pre10_tqqq_open_return,<=,0.06358154509288538,49,0.30612244897959184,0.021384409328462528,0.025006854846719
pre20_tqqq_open_return,>=,0.13900724566800293,49,0.30612244897959184,0.04428183959791418,0.0341404565177503
days_since_previous_exit,>=,6.0,59,0.3050847457627119,0.047279977065320715,0.0344071668865759
entry_rsi,<=,69.96476606754156,20,0.3,0.012669826104115604,0.02456608604906845
pre10_tqqq_open_return,<=,0.020243879881584142,20,0.3,0.020482289809117322,0.03612320461541335
pre10_tqqq_open_return,>=,0.10569576300008938,20,0.3,0.04788215588815543,0.0440515423757812
pre20_tqqq_open_return,<=,0.08265083920043442,20,0.3,0.025037960926073983,0.0219043151161287
entry_rsi,>=,72.43122920113055,10,0.3,0.0476420383392512,0.03430753444037145
pre5_tqqq_open_return,>=,0.07039098741325737,10,0.3,0.04131214992780888,0.04123991510015975
pre10_tqqq_open_return,>=,0.12754428103699317,10,0.3,0.04797414199071928,0.0440515423757812
pre20_tqqq_open_return,<=,0.051539828594619676,10,0.3,0.009467233763762854,0.0087971554873933
rsi_change,>=,3.5576165781028677,10,0.3,0.11841705190991317,0.0361197939236843
pre20_tqqq_open_return,<=,0.1930982702584324,77,0.2987012987012987,0.026635749102071817,0.0297987081032307
holding_days,<=,9.0,88,0.29545454545454547,0.0439771118357664,0.03422646941014135
pre20_tqqq_open_return,<=,0.17766655862757538,68,0.29411764705882354,0.02624410737604902,0.0303701055052384
rsi_change,<=,0.8238179785937113,68,0.29411764705882354,0.03154689282813757,0.0337728251653478
days_since_previous_exit,<=,2.0,17,0.29411764705882354,0.021083075081591688,0.0241864538078644
holding_days,<=,6.0,82,0.2926829268292683,0.03569813870237642,0.03422646941014135
holding_days,<=,4.0,69,0.2898550724637681,0.0329320767589198,0.0343124823025324
episode_tqqq_open_return,<=,0.03287224066085371,77,0.2857142857142857,0.04146167629098316,0.0344071668865759
days_since_previous_exit,>=,9.0,49,0.2857142857142857,0.05129333791341946,0.0341404565177503
entry_rsi,>=,70.43178554718253,58,0.27586206896551724,0.06304257502448916,0.04564104259456895
entry_rsi,>=,71.13013301630522,29,0.27586206896551724,0.04742516125876108,0.0384681383153564
pre20_tqqq_open_return,<=,0.10202459383088083,29,0.27586206896551724,0.03127062244296658,0.025006854846719
days_since_previous_exit,>=,41.0,29,0.27586206896551724,0.030785641047451604,0.0341404565177503
max_tqqq_open_return_from_entry,<=,0.05408260267856815,77,0.2727272727272727,0.03987956869439221,0.0344071668865759
holding_days,<=,3.0,60,0.26666666666666666,0.03412122761102707,0.0337728251653478
episode_tqqq_open_return,<=,0.023990636842303955,68,0.2647058823529412,0.041103441442179624,0.03435982459455415
max_tqqq_open_return_from_entry,<=,0.029567716850842574,68,0.2647058823529412,0.040796215023126914,0.03643765260096615
entry_rsi,>=,70.6221812779543,49,0.24489795918367346,0.07060035792141733,0.0526811220970888
episode_tqqq_open_return,<=,0.00932398194853922,58,0.2413793103448276,0.04178146438272026,0.03435982459455415
max_tqqq_open_return_from_entry,<=,0.018382296892298783,58,0.2413793103448276,0.04088159072922841,0.03643765260096615
entry_rsi,>=,70.85429786127122,39,0.23076923076923078,0.06053602253094974,0.0590242709529433
holding_days,<=,2.0,49,0.22448979591836735,0.03936030488448622,0.0343124823025324
holding_days,<=,2.0,49,0.22448979591836735,0.03936030488448622,0.0343124823025324
episode_tqqq_open_return,<=,0.0,49,0.22448979591836735,0.04281911879622608,0.0332331680281632
episode_tqqq_open_return,<=,0.0,49,0.22448979591836735,0.04281911879622608,0.0332331680281632
episode_tqqq_open_return,<=,0.0,49,0.22448979591836735,0.04281911879622608,0.0332331680281632
episode_tqqq_open_return,<=,0.0,49,0.22448979591836735,0.04281911879622608,0.0332331680281632
rsi_change,<=,0.0,57,0.21052631578947367,0.05008670834890833,0.0388260373874842
rsi_change,<=,0.0,57,0.21052631578947367,0.05008670834890833,0.0388260373874842
rsi_change,<=,0.0,57,0.21052631578947367,0.05008670834890833,0.0388260373874842
max_tqqq_open_return_from_entry,<=,0.0,43,0.20930232558139536,0.039578064694851395,0.0332331680281632
max_tqqq_open_return_from_entry,<=,0.0,43,0.20930232558139536,0.039578064694851395,0.0332331680281632
max_tqqq_open_return_from_entry,<=,0.0,43,0.20930232558139536,0.039578064694851395,0.0332331680281632
max_tqqq_open_return_from_entry,<=,0.0,43,0.20930232558139536,0.039578064694851395,0.0332331680281632
rsi_change,<=,0.04824185226938547,58,0.20689655172413793,0.05034704260755785,0.0388324151518061
max_tqqq_open_return_from_entry,<=,0.00544333706451039,49,0.20408163265306123,0.04217417660665874,0.0344071668865759
holding_days,<=,1.0,35,0.2,0.04165990188342848,0.0343124823025324
holding_days,<=,1.0,35,0.2,0.04165990188342848,0.0343124823025324
holding_days,<=,1.0,35,0.2,0.04165990188342848,0.0343124823025324
entry_rsi,>=,71.70266777944417,20,0.2,0.05722033999509625,0.06640696488051075
pre5_tqqq_open_return,<=,0.0018603860549195614,20,0.2,0.03617478513999712,0.0268966225871879
rsi_change,<=,-0.6834313368220277,20,0.2,0.06427148007026645,0.060911368392507395
episode_tqqq_open_return,<=,-0.002666298439734204,10,0.2,0.07594712567270276,0.0655364509794488
pre5_tqqq_open_return,<=,-0.008172517311285741,10,0.1,0.017498658820010962,0.01200598819731895
rsi_change,<=,-2.0900645589204685,10,0.1,0.06012899643992749,0.060911368392507395
