date,nasdaq100_forward_pe,source
2005-01-01,25.65,trendonify_nasdaq100_forward_pe_monthly
2005-02-01,25.57,trendonify_nasdaq100_forward_pe_monthly
2005-03-01,24.62,trendonify_nasdaq100_forward_pe_monthly
2005-04-01,23.84,trendonify_nasdaq100_forward_pe_monthly
2005-05-01,25.86,trendonify_nasdaq100_forward_pe_monthly
2005-06-01,25.59,trendonify_nasdaq100_forward_pe_monthly
2005-07-01,26.97,trendonify_nasdaq100_forward_pe_monthly
2005-08-01,26.91,trendonify_nasdaq100_forward_pe_monthly
2005-09-01,27.12,trendonify_nasdaq100_forward_pe_monthly
2005-10-01,26.14,trendonify_nasdaq100_forward_pe_monthly
2005-11-01,27.65,trendonify_nasdaq100_forward_pe_monthly
2005-12-01,27.6,trendonify_nasdaq100_forward_pe_monthly
2006-01-01,26.63,trendonify_nasdaq100_forward_pe_monthly
2006-02-01,25.75,trendonify_nasdaq100_forward_pe_monthly
2006-03-01,26.67,trendonify_nasdaq100_forward_pe_monthly
2006-04-01,26.58,trendonify_nasdaq100_forward_pe_monthly
2006-05-01,24.98,trendonify_nasdaq100_forward_pe_monthly
2006-06-01,24.64,trendonify_nasdaq100_forward_pe_monthly
2006-07-01,23.14,trendonify_nasdaq100_forward_pe_monthly
2006-08-01,24.39,trendonify_nasdaq100_forward_pe_monthly
2006-09-01,25.5,trendonify_nasdaq100_forward_pe_monthly
2006-10-01,25.83,trendonify_nasdaq100_forward_pe_monthly
2006-11-01,26.58,trendonify_nasdaq100_forward_pe_monthly
2006-12-01,26.76,trendonify_nasdaq100_forward_pe_monthly
2007-01-01,24.36,trendonify_nasdaq100_forward_pe_monthly
2007-02-01,23.75,trendonify_nasdaq100_forward_pe_monthly
2007-03-01,23.91,trendonify_nasdaq100_forward_pe_monthly
2007-04-01,24.56,trendonify_nasdaq100_forward_pe_monthly
2007-05-01,25.62,trendonify_nasdaq100_forward_pe_monthly
2007-06-01,25.23,trendonify_nasdaq100_forward_pe_monthly
2007-07-01,24.74,trendonify_nasdaq100_forward_pe_monthly
2007-08-01,25.18,trendonify_nasdaq100_forward_pe_monthly
2007-09-01,26.21,trendonify_nasdaq100_forward_pe_monthly
2007-10-01,27.11,trendonify_nasdaq100_forward_pe_monthly
2007-11-01,25.39,trendonify_nasdaq100_forward_pe_monthly
2007-12-01,25.33,trendonify_nasdaq100_forward_pe_monthly
2008-01-01,20.32,trendonify_nasdaq100_forward_pe_monthly
2008-02-01,19.36,trendonify_nasdaq100_forward_pe_monthly
2008-03-01,19.87,trendonify_nasdaq100_forward_pe_monthly
2008-04-01,21.41,trendonify_nasdaq100_forward_pe_monthly
2008-05-01,22.63,trendonify_nasdaq100_forward_pe_monthly
2008-06-01,20.31,trendonify_nasdaq100_forward_pe_monthly
2008-07-01,20.23,trendonify_nasdaq100_forward_pe_monthly
2008-08-01,20.72,trendonify_nasdaq100_forward_pe_monthly
2008-09-01,17.69,trendonify_nasdaq100_forward_pe_monthly
2008-10-01,15.09,trendonify_nasdaq100_forward_pe_monthly
2008-11-01,14.08,trendonify_nasdaq100_forward_pe_monthly
2008-12-01,14.07,trendonify_nasdaq100_forward_pe_monthly
2009-01-01,14.25,trendonify_nasdaq100_forward_pe_monthly
2009-02-01,14.17,trendonify_nasdaq100_forward_pe_monthly
2009-03-01,15.92,trendonify_nasdaq100_forward_pe_monthly
2009-04-01,17.75,trendonify_nasdaq100_forward_pe_monthly
2009-05-01,18.19,trendonify_nasdaq100_forward_pe_monthly
2009-06-01,18.52,trendonify_nasdaq100_forward_pe_monthly
2009-07-01,19.51,trendonify_nasdaq100_forward_pe_monthly
2009-08-01,19.6,trendonify_nasdaq100_forward_pe_monthly
2009-09-01,20.56,trendonify_nasdaq100_forward_pe_monthly
2009-10-01,18.43,trendonify_nasdaq100_forward_pe_monthly
2009-11-01,19.2,trendonify_nasdaq100_forward_pe_monthly
2009-12-01,19.6,trendonify_nasdaq100_forward_pe_monthly
2010-01-01,15.88,trendonify_nasdaq100_forward_pe_monthly
2010-02-01,16.3,trendonify_nasdaq100_forward_pe_monthly
2010-03-01,17.33,trendonify_nasdaq100_forward_pe_monthly
2010-04-01,16.97,trendonify_nasdaq100_forward_pe_monthly
2010-05-01,15.51,trendonify_nasdaq100_forward_pe_monthly
2010-06-01,14.39,trendonify_nasdaq100_forward_pe_monthly
2010-07-01,14.94,trendonify_nasdaq100_forward_pe_monthly
2010-08-01,14.12,trendonify_nasdaq100_forward_pe_monthly
2010-09-01,15.89,trendonify_nasdaq100_forward_pe_monthly
2010-10-01,15.85,trendonify_nasdaq100_forward_pe_monthly
2010-11-01,15.66,trendonify_nasdaq100_forward_pe_monthly
2010-12-01,16.48,trendonify_nasdaq100_forward_pe_monthly
2011-01-01,15.25,trendonify_nasdaq100_forward_pe_monthly
2011-02-01,15.61,trendonify_nasdaq100_forward_pe_monthly
2011-03-01,15.45,trendonify_nasdaq100_forward_pe_monthly
2011-04-01,15.48,trendonify_nasdaq100_forward_pe_monthly
2011-05-01,14.46,trendonify_nasdaq100_forward_pe_monthly
2011-06-01,14.14,trendonify_nasdaq100_forward_pe_monthly
2011-07-01,13.94,trendonify_nasdaq100_forward_pe_monthly
2011-08-01,13.15,trendonify_nasdaq100_forward_pe_monthly
2011-09-01,12.6,trendonify_nasdaq100_forward_pe_monthly
2011-10-01,13.4,trendonify_nasdaq100_forward_pe_monthly
2011-11-01,13.0,trendonify_nasdaq100_forward_pe_monthly
2011-12-01,13.02,trendonify_nasdaq100_forward_pe_monthly
2012-01-01,12.92,trendonify_nasdaq100_forward_pe_monthly
2012-02-01,13.63,trendonify_nasdaq100_forward_pe_monthly
2012-03-01,14.3,trendonify_nasdaq100_forward_pe_monthly
2012-04-01,13.93,trendonify_nasdaq100_forward_pe_monthly
2012-05-01,13.09,trendonify_nasdaq100_forward_pe_monthly
2012-06-01,13.64,trendonify_nasdaq100_forward_pe_monthly
2012-07-01,13.84,trendonify_nasdaq100_forward_pe_monthly
2012-08-01,14.51,trendonify_nasdaq100_forward_pe_monthly
2012-09-01,14.69,trendonify_nasdaq100_forward_pe_monthly
2012-10-01,13.59,trendonify_nasdaq100_forward_pe_monthly
2012-11-01,13.76,trendonify_nasdaq100_forward_pe_monthly
2012-12-01,13.98,trendonify_nasdaq100_forward_pe_monthly
2013-01-01,14.09,trendonify_nasdaq100_forward_pe_monthly
2013-02-01,14.21,trendonify_nasdaq100_forward_pe_monthly
2013-03-01,14.69,trendonify_nasdaq100_forward_pe_monthly
2013-04-01,15.36,trendonify_nasdaq100_forward_pe_monthly
2013-05-01,16.23,trendonify_nasdaq100_forward_pe_monthly
2013-06-01,15.22,trendonify_nasdaq100_forward_pe_monthly
2013-07-01,16.76,trendonify_nasdaq100_forward_pe_monthly
2013-08-01,16.83,trendonify_nasdaq100_forward_pe_monthly
2013-09-01,17.52,trendonify_nasdaq100_forward_pe_monthly
2013-10-01,17.88,trendonify_nasdaq100_forward_pe_monthly
2013-11-01,18.23,trendonify_nasdaq100_forward_pe_monthly
2013-12-01,18.7,trendonify_nasdaq100_forward_pe_monthly
2014-01-01,17.6,trendonify_nasdaq100_forward_pe_monthly
2014-02-01,18.4,trendonify_nasdaq100_forward_pe_monthly
2014-03-01,17.99,trendonify_nasdaq100_forward_pe_monthly
2014-04-01,17.48,trendonify_nasdaq100_forward_pe_monthly
2014-05-01,18.29,trendonify_nasdaq100_forward_pe_monthly
2014-06-01,18.78,trendonify_nasdaq100_forward_pe_monthly
2014-07-01,18.54,trendonify_nasdaq100_forward_pe_monthly
2014-08-01,19.79,trendonify_nasdaq100_forward_pe_monthly
2014-09-01,19.58,trendonify_nasdaq100_forward_pe_monthly
2014-10-01,19.33,trendonify_nasdaq100_forward_pe_monthly
2014-11-01,20.04,trendonify_nasdaq100_forward_pe_monthly
2014-12-01,19.46,trendonify_nasdaq100_forward_pe_monthly
2015-01-01,17.46,trendonify_nasdaq100_forward_pe_monthly
2015-02-01,18.8,trendonify_nasdaq100_forward_pe_monthly
2015-03-01,18.58,trendonify_nasdaq100_forward_pe_monthly
2015-04-01,18.8,trendonify_nasdaq100_forward_pe_monthly
2015-05-01,19.21,trendonify_nasdaq100_forward_pe_monthly
2015-06-01,18.88,trendonify_nasdaq100_forward_pe_monthly
2015-07-01,19.68,trendonify_nasdaq100_forward_pe_monthly
2015-08-01,18.33,trendonify_nasdaq100_forward_pe_monthly
2015-09-01,17.94,trendonify_nasdaq100_forward_pe_monthly
2015-10-01,19.49,trendonify_nasdaq100_forward_pe_monthly
2015-11-01,19.87,trendonify_nasdaq100_forward_pe_monthly
2015-12-01,19.9,trendonify_nasdaq100_forward_pe_monthly
2016-01-01,17.56,trendonify_nasdaq100_forward_pe_monthly
2016-02-01,17.21,trendonify_nasdaq100_forward_pe_monthly
2016-03-01,18.47,trendonify_nasdaq100_forward_pe_monthly
2016-04-01,18.15,trendonify_nasdaq100_forward_pe_monthly
2016-05-01,18.98,trendonify_nasdaq100_forward_pe_monthly
2016-06-01,18.67,trendonify_nasdaq100_forward_pe_monthly
2016-07-01,19.7,trendonify_nasdaq100_forward_pe_monthly
2016-08-01,19.77,trendonify_nasdaq100_forward_pe_monthly
2016-09-01,20.05,trendonify_nasdaq100_forward_pe_monthly
2016-10-01,19.23,trendonify_nasdaq100_forward_pe_monthly
2016-11-01,19.1,trendonify_nasdaq100_forward_pe_monthly
2016-12-01,19.24,trendonify_nasdaq100_forward_pe_monthly
2017-01-01,18.93,trendonify_nasdaq100_forward_pe_monthly
2017-02-01,19.91,trendonify_nasdaq100_forward_pe_monthly
2017-03-01,20.2,trendonify_nasdaq100_forward_pe_monthly
2017-04-01,20.59,trendonify_nasdaq100_forward_pe_monthly
2017-05-01,21.37,trendonify_nasdaq100_forward_pe_monthly
2017-06-01,20.75,trendonify_nasdaq100_forward_pe_monthly
2017-07-01,21.25,trendonify_nasdaq100_forward_pe_monthly
2017-08-01,21.58,trendonify_nasdaq100_forward_pe_monthly
2017-09-01,21.29,trendonify_nasdaq100_forward_pe_monthly
2017-10-01,21.03,trendonify_nasdaq100_forward_pe_monthly
2017-11-01,21.02,trendonify_nasdaq100_forward_pe_monthly
2017-12-01,21.14,trendonify_nasdaq100_forward_pe_monthly
2018-01-01,20.89,trendonify_nasdaq100_forward_pe_monthly
2018-02-01,20.16,trendonify_nasdaq100_forward_pe_monthly
2018-03-01,19.45,trendonify_nasdaq100_forward_pe_monthly
2018-04-01,19.16,trendonify_nasdaq100_forward_pe_monthly
2018-05-01,20.18,trendonify_nasdaq100_forward_pe_monthly
2018-06-01,20.36,trendonify_nasdaq100_forward_pe_monthly
2018-07-01,20.49,trendonify_nasdaq100_forward_pe_monthly
2018-08-01,21.6,trendonify_nasdaq100_forward_pe_monthly
2018-09-01,21.54,trendonify_nasdaq100_forward_pe_monthly
2018-10-01,18.88,trendonify_nasdaq100_forward_pe_monthly
2018-11-01,18.93,trendonify_nasdaq100_forward_pe_monthly
2018-12-01,17.5,trendonify_nasdaq100_forward_pe_monthly
2019-01-01,18.55,trendonify_nasdaq100_forward_pe_monthly
2019-02-01,19.23,trendonify_nasdaq100_forward_pe_monthly
2019-03-01,20.07,trendonify_nasdaq100_forward_pe_monthly
2019-04-01,21.16,trendonify_nasdaq100_forward_pe_monthly
2019-05-01,19.44,trendonify_nasdaq100_forward_pe_monthly
2019-06-01,21.04,trendonify_nasdaq100_forward_pe_monthly
2019-07-01,21.13,trendonify_nasdaq100_forward_pe_monthly
2019-08-01,20.75,trendonify_nasdaq100_forward_pe_monthly
2019-09-01,21.23,trendonify_nasdaq100_forward_pe_monthly
2019-10-01,21.82,trendonify_nasdaq100_forward_pe_monthly
2019-11-01,22.85,trendonify_nasdaq100_forward_pe_monthly
2019-12-01,23.78,trendonify_nasdaq100_forward_pe_monthly
2020-01-01,22.42,trendonify_nasdaq100_forward_pe_monthly
2020-02-01,21.45,trendonify_nasdaq100_forward_pe_monthly
2020-03-01,21.93,trendonify_nasdaq100_forward_pe_monthly
2020-04-01,26.73,trendonify_nasdaq100_forward_pe_monthly
2020-05-01,28.77,trendonify_nasdaq100_forward_pe_monthly
2020-06-01,30.22,trendonify_nasdaq100_forward_pe_monthly
2020-07-01,30.69,trendonify_nasdaq100_forward_pe_monthly
2020-08-01,33.92,trendonify_nasdaq100_forward_pe_monthly
2020-09-01,31.73,trendonify_nasdaq100_forward_pe_monthly
2020-10-01,28.84,trendonify_nasdaq100_forward_pe_monthly
2020-11-01,31.6,trendonify_nasdaq100_forward_pe_monthly
2020-12-01,32.72,trendonify_nasdaq100_forward_pe_monthly
2021-01-01,28.74,trendonify_nasdaq100_forward_pe_monthly
2021-02-01,27.89,trendonify_nasdaq100_forward_pe_monthly
2021-03-01,28.16,trendonify_nasdaq100_forward_pe_monthly
2021-04-01,28.04,trendonify_nasdaq100_forward_pe_monthly
2021-05-01,26.96,trendonify_nasdaq100_forward_pe_monthly
2021-06-01,26.54,trendonify_nasdaq100_forward_pe_monthly
2021-07-01,26.19,trendonify_nasdaq100_forward_pe_monthly
2021-08-01,26.82,trendonify_nasdaq100_forward_pe_monthly
2021-09-01,25.17,trendonify_nasdaq100_forward_pe_monthly
2021-10-01,27.42,trendonify_nasdaq100_forward_pe_monthly
2021-11-01,27.59,trendonify_nasdaq100_forward_pe_monthly
2021-12-01,27.64,trendonify_nasdaq100_forward_pe_monthly
2022-01-01,24.92,trendonify_nasdaq100_forward_pe_monthly
2022-02-01,23.67,trendonify_nasdaq100_forward_pe_monthly
2022-03-01,24.41,trendonify_nasdaq100_forward_pe_monthly
2022-04-01,21.27,trendonify_nasdaq100_forward_pe_monthly
2022-05-01,20.89,trendonify_nasdaq100_forward_pe_monthly
2022-06-01,18.93,trendonify_nasdaq100_forward_pe_monthly
2022-07-01,21.85,trendonify_nasdaq100_forward_pe_monthly
2022-08-01,20.87,trendonify_nasdaq100_forward_pe_monthly
2022-09-01,18.5,trendonify_nasdaq100_forward_pe_monthly
2022-10-01,20.11,trendonify_nasdaq100_forward_pe_monthly
2022-11-01,21.51,trendonify_nasdaq100_forward_pe_monthly
2022-12-01,19.84,trendonify_nasdaq100_forward_pe_monthly
2023-01-01,22.36,trendonify_nasdaq100_forward_pe_monthly
2023-02-01,21.95,trendonify_nasdaq100_forward_pe_monthly
2023-03-01,23.73,trendonify_nasdaq100_forward_pe_monthly
2023-04-01,23.48,trendonify_nasdaq100_forward_pe_monthly
2023-05-01,24.75,trendonify_nasdaq100_forward_pe_monthly
2023-06-01,25.75,trendonify_nasdaq100_forward_pe_monthly
2023-07-01,25.22,trendonify_nasdaq100_forward_pe_monthly
2023-08-01,24.0,trendonify_nasdaq100_forward_pe_monthly
2023-09-01,22.39,trendonify_nasdaq100_forward_pe_monthly
2023-10-01,21.57,trendonify_nasdaq100_forward_pe_monthly
2023-11-01,23.39,trendonify_nasdaq100_forward_pe_monthly
2023-12-01,24.13,trendonify_nasdaq100_forward_pe_monthly
2024-01-01,30.27,trendonify_nasdaq100_forward_pe_monthly
2024-02-01,25.29,trendonify_nasdaq100_forward_pe_monthly
2024-03-01,25.1,trendonify_nasdaq100_forward_pe_monthly
2024-04-01,23.73,trendonify_nasdaq100_forward_pe_monthly
2024-05-01,24.74,trendonify_nasdaq100_forward_pe_monthly
2024-06-01,25.83,trendonify_nasdaq100_forward_pe_monthly
2024-07-01,24.92,trendonify_nasdaq100_forward_pe_monthly
2024-08-01,25.07,trendonify_nasdaq100_forward_pe_monthly
2024-09-01,25.22,trendonify_nasdaq100_forward_pe_monthly
2024-10-01,24.71,trendonify_nasdaq100_forward_pe_monthly
2024-11-01,25.73,trendonify_nasdaq100_forward_pe_monthly
2024-12-01,25.46,trendonify_nasdaq100_forward_pe_monthly
2025-01-01,25.87,trendonify_nasdaq100_forward_pe_monthly
2025-02-01,25.02,trendonify_nasdaq100_forward_pe_monthly
2025-03-01,22.78,trendonify_nasdaq100_forward_pe_monthly
2025-04-01,23.27,trendonify_nasdaq100_forward_pe_monthly
2025-05-01,25.17,trendonify_nasdaq100_forward_pe_monthly
2025-06-01,26.3,trendonify_nasdaq100_forward_pe_monthly
2025-07-01,26.37,trendonify_nasdaq100_forward_pe_monthly
2025-08-01,25.53,trendonify_nasdaq100_forward_pe_monthly
2025-09-01,26.31,trendonify_nasdaq100_forward_pe_monthly
2025-10-01,26.87,trendonify_nasdaq100_forward_pe_monthly
2025-11-01,25.48,trendonify_nasdaq100_forward_pe_monthly
2025-12-01,24.29,trendonify_nasdaq100_forward_pe_monthly
2026-01-01,24.2,trendonify_nasdaq100_forward_pe_monthly
2026-02-01,23.64,trendonify_nasdaq100_forward_pe_monthly
2026-03-01,20.64,trendonify_nasdaq100_forward_pe_monthly
2026-04-01,20.97,trendonify_nasdaq100_forward_pe_monthly
