date,nasdaq100_pe_ttm,source
2005-01-01,32.73,trendonify_nasdaq100_pe_monthly
2005-02-01,32.73,trendonify_nasdaq100_pe_monthly
2005-03-01,30.03,trendonify_nasdaq100_pe_monthly
2005-04-01,30.03,trendonify_nasdaq100_pe_monthly
2005-05-01,30.03,trendonify_nasdaq100_pe_monthly
2005-06-01,28.97,trendonify_nasdaq100_pe_monthly
2005-07-01,28.97,trendonify_nasdaq100_pe_monthly
2005-08-01,28.97,trendonify_nasdaq100_pe_monthly
2005-09-01,28.97,trendonify_nasdaq100_pe_monthly
2005-10-01,28.97,trendonify_nasdaq100_pe_monthly
2005-11-01,28.96,trendonify_nasdaq100_pe_monthly
2005-12-01,27.22,trendonify_nasdaq100_pe_monthly
2006-01-01,25.85,trendonify_nasdaq100_pe_monthly
2006-02-01,25.23,trendonify_nasdaq100_pe_monthly
2006-03-01,25.23,trendonify_nasdaq100_pe_monthly
2006-04-01,25.19,trendonify_nasdaq100_pe_monthly
2006-05-01,23.4,trendonify_nasdaq100_pe_monthly
2006-06-01,25.67,trendonify_nasdaq100_pe_monthly
2006-07-01,24.59,trendonify_nasdaq100_pe_monthly
2006-08-01,25.75,trendonify_nasdaq100_pe_monthly
2006-09-01,26.96,trendonify_nasdaq100_pe_monthly
2006-10-01,25.5,trendonify_nasdaq100_pe_monthly
2006-11-01,26.36,trendonify_nasdaq100_pe_monthly
2006-12-01,25.86,trendonify_nasdaq100_pe_monthly
2007-01-01,29.01,trendonify_nasdaq100_pe_monthly
2007-02-01,28.51,trendonify_nasdaq100_pe_monthly
2007-03-01,28.69,trendonify_nasdaq100_pe_monthly
2007-04-01,26.94,trendonify_nasdaq100_pe_monthly
2007-05-01,27.81,trendonify_nasdaq100_pe_monthly
2007-06-01,27.9,trendonify_nasdaq100_pe_monthly
2007-07-01,25.18,trendonify_nasdaq100_pe_monthly
2007-08-01,25.93,trendonify_nasdaq100_pe_monthly
2007-09-01,27.26,trendonify_nasdaq100_pe_monthly
2007-10-01,28.9,trendonify_nasdaq100_pe_monthly
2007-11-01,26.97,trendonify_nasdaq100_pe_monthly
2007-12-01,26.38,trendonify_nasdaq100_pe_monthly
2008-01-01,23.3,trendonify_nasdaq100_pe_monthly
2008-02-01,22.08,trendonify_nasdaq100_pe_monthly
2008-03-01,22.15,trendonify_nasdaq100_pe_monthly
2008-04-01,23.83,trendonify_nasdaq100_pe_monthly
2008-05-01,25.26,trendonify_nasdaq100_pe_monthly
2008-06-01,22.88,trendonify_nasdaq100_pe_monthly
2008-07-01,23.03,trendonify_nasdaq100_pe_monthly
2008-08-01,23.32,trendonify_nasdaq100_pe_monthly
2008-09-01,20.69,trendonify_nasdaq100_pe_monthly
2008-10-01,17.31,trendonify_nasdaq100_pe_monthly
2008-11-01,15.38,trendonify_nasdaq100_pe_monthly
2008-12-01,19.98,trendonify_nasdaq100_pe_monthly
2009-01-01,19.45,trendonify_nasdaq100_pe_monthly
2009-02-01,18.41,trendonify_nasdaq100_pe_monthly
2009-03-01,22.87,trendonify_nasdaq100_pe_monthly
2009-04-01,25.78,trendonify_nasdaq100_pe_monthly
2009-05-01,26.54,trendonify_nasdaq100_pe_monthly
2009-06-01,31.99,trendonify_nasdaq100_pe_monthly
2009-07-01,34.72,trendonify_nasdaq100_pe_monthly
2009-08-01,35.19,trendonify_nasdaq100_pe_monthly
2009-09-01,35.28,trendonify_nasdaq100_pe_monthly
2009-10-01,34.22,trendonify_nasdaq100_pe_monthly
2009-11-01,36.28,trendonify_nasdaq100_pe_monthly
2009-12-01,20.14,trendonify_nasdaq100_pe_monthly
2010-01-01,18.84,trendonify_nasdaq100_pe_monthly
2010-02-01,19.68,trendonify_nasdaq100_pe_monthly
2010-03-01,17.6,trendonify_nasdaq100_pe_monthly
2010-04-01,17.97,trendonify_nasdaq100_pe_monthly
2010-05-01,16.65,trendonify_nasdaq100_pe_monthly
2010-06-01,14.44,trendonify_nasdaq100_pe_monthly
2010-07-01,15.48,trendonify_nasdaq100_pe_monthly
2010-08-01,14.68,trendonify_nasdaq100_pe_monthly
2010-09-01,14.07,trendonify_nasdaq100_pe_monthly
2010-10-01,14.97,trendonify_nasdaq100_pe_monthly
2010-11-01,14.92,trendonify_nasdaq100_pe_monthly
2010-12-01,14.42,trendonify_nasdaq100_pe_monthly
2011-01-01,14.83,trendonify_nasdaq100_pe_monthly
2011-02-01,15.28,trendonify_nasdaq100_pe_monthly
2011-03-01,14.9,trendonify_nasdaq100_pe_monthly
2011-04-01,15.31,trendonify_nasdaq100_pe_monthly
2011-05-01,15.11,trendonify_nasdaq100_pe_monthly
2011-06-01,14.23,trendonify_nasdaq100_pe_monthly
2011-07-01,14.46,trendonify_nasdaq100_pe_monthly
2011-08-01,13.71,trendonify_nasdaq100_pe_monthly
2011-09-01,12.87,trendonify_nasdaq100_pe_monthly
2011-10-01,14.21,trendonify_nasdaq100_pe_monthly
2011-11-01,13.81,trendonify_nasdaq100_pe_monthly
2011-12-01,13.7,trendonify_nasdaq100_pe_monthly
2012-01-01,14.24,trendonify_nasdaq100_pe_monthly
2012-02-01,15.13,trendonify_nasdaq100_pe_monthly
2012-03-01,15.89,trendonify_nasdaq100_pe_monthly
2012-04-01,14.7,trendonify_nasdaq100_pe_monthly
2012-05-01,13.62,trendonify_nasdaq100_pe_monthly
2012-06-01,14.12,trendonify_nasdaq100_pe_monthly
2012-07-01,14.71,trendonify_nasdaq100_pe_monthly
2012-08-01,15.43,trendonify_nasdaq100_pe_monthly
2012-09-01,15.58,trendonify_nasdaq100_pe_monthly
2012-10-01,15.6,trendonify_nasdaq100_pe_monthly
2012-11-01,15.78,trendonify_nasdaq100_pe_monthly
2012-12-01,15.35,trendonify_nasdaq100_pe_monthly
2013-01-01,15.75,trendonify_nasdaq100_pe_monthly
2013-02-01,15.79,trendonify_nasdaq100_pe_monthly
2013-03-01,16.26,trendonify_nasdaq100_pe_monthly
2013-04-01,16.22,trendonify_nasdaq100_pe_monthly
2013-05-01,16.75,trendonify_nasdaq100_pe_monthly
2013-06-01,16.35,trendonify_nasdaq100_pe_monthly
2013-07-01,16.94,trendonify_nasdaq100_pe_monthly
2013-08-01,16.85,trendonify_nasdaq100_pe_monthly
2013-09-01,15.06,trendonify_nasdaq100_pe_monthly
2013-10-01,15.8,trendonify_nasdaq100_pe_monthly
2013-11-01,16.32,trendonify_nasdaq100_pe_monthly
2013-12-01,16.84,trendonify_nasdaq100_pe_monthly
2014-01-01,16.51,trendonify_nasdaq100_pe_monthly
2014-02-01,17.33,trendonify_nasdaq100_pe_monthly
2014-03-01,13.41,trendonify_nasdaq100_pe_monthly
2014-04-01,13.36,trendonify_nasdaq100_pe_monthly
2014-05-01,13.94,trendonify_nasdaq100_pe_monthly
2014-06-01,13.32,trendonify_nasdaq100_pe_monthly
2014-07-01,13.47,trendonify_nasdaq100_pe_monthly
2014-08-01,14.14,trendonify_nasdaq100_pe_monthly
2014-09-01,14.8,trendonify_nasdaq100_pe_monthly
2014-10-01,15.2,trendonify_nasdaq100_pe_monthly
2014-11-01,15.86,trendonify_nasdaq100_pe_monthly
2014-12-01,14.19,trendonify_nasdaq100_pe_monthly
2015-01-01,13.89,trendonify_nasdaq100_pe_monthly
2015-02-01,14.88,trendonify_nasdaq100_pe_monthly
2015-03-01,18.88,trendonify_nasdaq100_pe_monthly
2015-04-01,19.23,trendonify_nasdaq100_pe_monthly
2015-05-01,19.64,trendonify_nasdaq100_pe_monthly
2015-06-01,19.81,trendonify_nasdaq100_pe_monthly
2015-07-01,20.67,trendonify_nasdaq100_pe_monthly
2015-08-01,19.25,trendonify_nasdaq100_pe_monthly
2015-09-01,19.53,trendonify_nasdaq100_pe_monthly
2015-10-01,21.73,trendonify_nasdaq100_pe_monthly
2015-11-01,21.8,trendonify_nasdaq100_pe_monthly
2015-12-01,22.69,trendonify_nasdaq100_pe_monthly
2016-01-01,21.14,trendonify_nasdaq100_pe_monthly
2016-02-01,20.76,trendonify_nasdaq100_pe_monthly
2016-03-01,22.11,trendonify_nasdaq100_pe_monthly
2016-04-01,21.41,trendonify_nasdaq100_pe_monthly
2016-05-01,22.3,trendonify_nasdaq100_pe_monthly
2016-06-01,21.13,trendonify_nasdaq100_pe_monthly
2016-07-01,22.62,trendonify_nasdaq100_pe_monthly
2016-08-01,22.82,trendonify_nasdaq100_pe_monthly
2016-09-01,24.3,trendonify_nasdaq100_pe_monthly
2016-10-01,23.93,trendonify_nasdaq100_pe_monthly
2016-11-01,23.98,trendonify_nasdaq100_pe_monthly
2016-12-01,24.24,trendonify_nasdaq100_pe_monthly
2017-01-01,23.68,trendonify_nasdaq100_pe_monthly
2017-02-01,24.66,trendonify_nasdaq100_pe_monthly
2017-03-01,23.81,trendonify_nasdaq100_pe_monthly
2017-04-01,24.45,trendonify_nasdaq100_pe_monthly
2017-05-01,25.35,trendonify_nasdaq100_pe_monthly
2017-06-01,24.06,trendonify_nasdaq100_pe_monthly
2017-07-01,25.06,trendonify_nasdaq100_pe_monthly
2017-08-01,25.53,trendonify_nasdaq100_pe_monthly
2017-09-01,25.49,trendonify_nasdaq100_pe_monthly
2017-10-01,24.09,trendonify_nasdaq100_pe_monthly
2017-11-01,24.54,trendonify_nasdaq100_pe_monthly
2017-12-01,24.66,trendonify_nasdaq100_pe_monthly
2018-01-01,28.72,trendonify_nasdaq100_pe_monthly
2018-02-01,28.32,trendonify_nasdaq100_pe_monthly
2018-03-01,27.2,trendonify_nasdaq100_pe_monthly
2018-04-01,25.7,trendonify_nasdaq100_pe_monthly
2018-05-01,27.11,trendonify_nasdaq100_pe_monthly
2018-06-01,27.39,trendonify_nasdaq100_pe_monthly
2018-07-01,25.81,trendonify_nasdaq100_pe_monthly
2018-08-01,27.31,trendonify_nasdaq100_pe_monthly
2018-09-01,27.22,trendonify_nasdaq100_pe_monthly
2018-10-01,23.43,trendonify_nasdaq100_pe_monthly
2018-11-01,23.37,trendonify_nasdaq100_pe_monthly
2018-12-01,18.92,trendonify_nasdaq100_pe_monthly
2019-01-01,20.65,trendonify_nasdaq100_pe_monthly
2019-02-01,21.22,trendonify_nasdaq100_pe_monthly
2019-03-01,22.06,trendonify_nasdaq100_pe_monthly
2019-04-01,23.21,trendonify_nasdaq100_pe_monthly
2019-05-01,21.26,trendonify_nasdaq100_pe_monthly
2019-06-01,22.88,trendonify_nasdaq100_pe_monthly
2019-07-01,23.45,trendonify_nasdaq100_pe_monthly
2019-08-01,22.98,trendonify_nasdaq100_pe_monthly
2019-09-01,23.3,trendonify_nasdaq100_pe_monthly
2019-10-01,24.3,trendonify_nasdaq100_pe_monthly
2019-11-01,25.26,trendonify_nasdaq100_pe_monthly
2019-12-01,24.74,trendonify_nasdaq100_pe_monthly
2020-01-01,25.48,trendonify_nasdaq100_pe_monthly
2020-02-01,23.97,trendonify_nasdaq100_pe_monthly
2020-03-01,22.72,trendonify_nasdaq100_pe_monthly
2020-04-01,26.18,trendonify_nasdaq100_pe_monthly
2020-05-01,27.79,trendonify_nasdaq100_pe_monthly
2020-06-01,30.09,trendonify_nasdaq100_pe_monthly
2020-07-01,32.32,trendonify_nasdaq100_pe_monthly
2020-08-01,35.88,trendonify_nasdaq100_pe_monthly
2020-09-01,34.1,trendonify_nasdaq100_pe_monthly
2020-10-01,33.01,trendonify_nasdaq100_pe_monthly
2020-11-01,36.64,trendonify_nasdaq100_pe_monthly
2020-12-01,35.54,trendonify_nasdaq100_pe_monthly
2021-01-01,35.64,trendonify_nasdaq100_pe_monthly
2021-02-01,35.6,trendonify_nasdaq100_pe_monthly
2021-03-01,32.06,trendonify_nasdaq100_pe_monthly
2021-04-01,33.94,trendonify_nasdaq100_pe_monthly
2021-05-01,33.52,trendonify_nasdaq100_pe_monthly
2021-06-01,30.28,trendonify_nasdaq100_pe_monthly
2021-07-01,31.13,trendonify_nasdaq100_pe_monthly
2021-08-01,32.42,trendonify_nasdaq100_pe_monthly
2021-09-01,29.19,trendonify_nasdaq100_pe_monthly
2021-10-01,31.51,trendonify_nasdaq100_pe_monthly
2021-11-01,32.07,trendonify_nasdaq100_pe_monthly
2021-12-01,31.08,trendonify_nasdaq100_pe_monthly
2022-01-01,28.42,trendonify_nasdaq100_pe_monthly
2022-02-01,27.11,trendonify_nasdaq100_pe_monthly
2022-03-01,28.65,trendonify_nasdaq100_pe_monthly
2022-04-01,24.82,trendonify_nasdaq100_pe_monthly
2022-05-01,24.41,trendonify_nasdaq100_pe_monthly
2022-06-01,23.85,trendonify_nasdaq100_pe_monthly
2022-07-01,26.85,trendonify_nasdaq100_pe_monthly
2022-08-01,25.46,trendonify_nasdaq100_pe_monthly
2022-09-01,24.04,trendonify_nasdaq100_pe_monthly
2022-10-01,24.99,trendonify_nasdaq100_pe_monthly
2022-11-01,26.36,trendonify_nasdaq100_pe_monthly
2022-12-01,23.97,trendonify_nasdaq100_pe_monthly
2023-01-01,28.4,trendonify_nasdaq100_pe_monthly
2023-02-01,28.26,trendonify_nasdaq100_pe_monthly
2023-03-01,30.81,trendonify_nasdaq100_pe_monthly
2023-04-01,30.96,trendonify_nasdaq100_pe_monthly
2023-05-01,33.33,trendonify_nasdaq100_pe_monthly
2023-06-01,32.66,trendonify_nasdaq100_pe_monthly
2023-07-01,33.91,trendonify_nasdaq100_pe_monthly
2023-08-01,33.36,trendonify_nasdaq100_pe_monthly
2023-09-01,31.67,trendonify_nasdaq100_pe_monthly
2023-10-01,29.61,trendonify_nasdaq100_pe_monthly
2023-11-01,32.77,trendonify_nasdaq100_pe_monthly
2023-12-01,34.57,trendonify_nasdaq100_pe_monthly
2024-01-01,30.49,trendonify_nasdaq100_pe_monthly
2024-02-01,32.11,trendonify_nasdaq100_pe_monthly
2024-03-01,32.48,trendonify_nasdaq100_pe_monthly
2024-04-01,29.9,trendonify_nasdaq100_pe_monthly
2024-05-01,31.79,trendonify_nasdaq100_pe_monthly
2024-06-01,33.75,trendonify_nasdaq100_pe_monthly
2024-07-01,32.72,trendonify_nasdaq100_pe_monthly
2024-08-01,33.08,trendonify_nasdaq100_pe_monthly
2024-09-01,33.9,trendonify_nasdaq100_pe_monthly
2024-10-01,34.42,trendonify_nasdaq100_pe_monthly
2024-11-01,35.6,trendonify_nasdaq100_pe_monthly
2024-12-01,34.18,trendonify_nasdaq100_pe_monthly
2025-01-01,35.09,trendonify_nasdaq100_pe_monthly
2025-02-01,33.95,trendonify_nasdaq100_pe_monthly
2025-03-01,31.13,trendonify_nasdaq100_pe_monthly
2025-04-01,32.9,trendonify_nasdaq100_pe_monthly
2025-05-01,34.57,trendonify_nasdaq100_pe_monthly
2025-06-01,35.61,trendonify_nasdaq100_pe_monthly
2025-07-01,35.12,trendonify_nasdaq100_pe_monthly
2025-08-01,34.94,trendonify_nasdaq100_pe_monthly
2025-09-01,35.31,trendonify_nasdaq100_pe_monthly
2025-10-01,34.3,trendonify_nasdaq100_pe_monthly
2025-11-01,33.21,trendonify_nasdaq100_pe_monthly
2025-12-01,34.21,trendonify_nasdaq100_pe_monthly
2026-01-01,34.29,trendonify_nasdaq100_pe_monthly
2026-02-01,34.61,trendonify_nasdaq100_pe_monthly
2026-03-01,32.45,trendonify_nasdaq100_pe_monthly
2026-04-01,34.51,trendonify_nasdaq100_pe_monthly
